Features	Feature IDs	Omnivore (mean)	Veggie (std)	Omnivore (std)	Veggie (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia	4424924	0.0	3.5609772441e-06	0.0	2.81567378718e-07
Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Xenococcaceae,Chroococcidiopsis	649518	0.0	2.33244661115e-06	0.0	1.31418478489e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	191468	1.98276813631e-08	1.39036821459e-06	9.31827261209e-07	7.83383741466e-08
Bacteria,Firmicutes,Clostridia,Clostridiales	176062	0.000477952337288	0.00124158414802	0.00143735473906	0.000371435059472
Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae	967433	0.0	3.40401559542e-06	0.0	2.46708634148e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	183576	5.48466612484e-06	2.68266234227e-05	3.16954863643e-05	7.71512317563e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	193171	1.895052091e-08	1.15452463403e-06	9.64058278459e-07	6.50500937762e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	174688	1.1186235257e-08	1.68639286583e-06	5.69070515554e-07	9.50174737134e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	356644	4.10886000978e-08	0.0	1.21359706748e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	1137375	0.0	2.36754686998e-06	0.0	1.33396154029e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	288682	5.75686217014e-06	2.42112832663e-05	2.93025890761e-05	5.605415641e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4450198	1.83251591656e-05	3.98455063619e-05	4.89980791225e-05	1.63853869355e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	267502	0.0	1.49304360669e-06	0.0	8.41234771127e-08
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	802787	1.63998606143e-08	0.0	8.3430009475e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	531722	1.76571207857e-08	0.0	8.98259923728e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	529180	2.05430016588e-08	0.0	1.04507157917e-06	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella	141108	1.769027742e-08	0.0	8.99946680936e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	317720	2.0845675276e-08	0.0	1.06046930928e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	312619	2.64592303884e-08	2.40846116623e-06	8.01258499689e-07	1.35701413466e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella	4324196	8.18304944252e-07	8.9410731378e-06	9.73759314861e-06	1.47623362833e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	179460	1.30952705143e-05	5.83919374694e-05	5.0368897243e-05	1.50579658985e-05
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella	2016098	2.23623044451e-05	8.80522902292e-05	0.000257693847642	1.71619265062e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces	561221	0.0	2.43498284906e-06	0.0	1.37195741005e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas	606755	5.04386876135e-06	1.82683575871e-05	4.47819822199e-05	4.51554615744e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	4372581	0.000142479458873	4.44435694875e-05	0.00654973478992	1.50919951877e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	181990	3.68080714099e-08	2.08374691684e-06	1.10359084469e-06	1.1740583817e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	324286	2.83362875394e-06	3.60705560629e-05	1.9483756259e-05	7.69153455995e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	241483	4.46226870907e-09	3.38528807164e-06	2.27006271232e-07	1.90739374482e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae	4323379	2.4214289055e-08	0.0	9.11101821515e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	290211	1.63125904717e-08	0.0	8.29860454074e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	574290	1.08118911666e-07	3.69426270173e-06	2.28833207324e-06	2.81210270222e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	179663	7.28747178512e-05	0.000133287303907	0.000181011171064	6.83145231208e-05
