Features	Feature IDs	Omnivore (mean)	Veggie (std)	Omnivore (std)	Veggie (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales	176062	0.000477952337288	0.00124158414802	0.00143735473906	0.000371435059472
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	2148365	0.000150260903018	0.000551250824592	0.000853611827111	0.000113156627143
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri	173565	0.0110304263997	0.0528334299513	0.0487703765949	0.0110683862548
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	178478	0.00711438755701	0.0211409889155	0.0198851482586	0.00707495087959
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus	315223	9.64340139162e-05	0.000771188209349	0.000548653579983	0.000101261725731
Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Finegoldia	1096610	0.000785414708308	0.00635988712513	0.00619401965235	0.000794290048869
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	4332078	0.000106232108616	0.000562529055938	0.000375125151536	0.000146451071828
Bacteria,Firmicutes,Clostridia,Clostridiales	1857626	7.001006499e-05	0.00434274711226	0.00137618101272	0.000304254164886
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae	4375080	0.00105360760745	0.00760619624612	0.00730273654101	0.00148117971857
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4324040	6.62522081912e-05	0.000261587489657	0.000321772696372	8.30846515209e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	300620	7.82574765772e-05	0.000390961782505	0.00027857233484	0.000101508224241
Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae	3805726	9.85130499185e-05	0.00088617962954	0.000615300714559	0.000131221316033
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	196742	8.64542897984e-05	0.000169372674072	0.00036939005855	4.48844857686e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	194420	0.00017398686099	0.00157904858776	0.000574267253011	0.000245833909107
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	3723096	0.000730400653284	0.00420696649432	0.0105154872754	0.000520542229542
Bacteria,Firmicutes,Clostridia,Clostridiales	187929	7.82177569947e-05	0.000161080160158	0.000199307266825	7.7260050722e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4336939	9.47073412095e-05	0.000312830815624	0.000514662580409	6.0275939084e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister	4437515	0.00506683399403	0.0193677476437	0.0193762652522	0.00643747289627
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4446669	0.000191003207197	0.00049521726657	0.00101710448995	9.63080767842e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	2506486	0.000151482389512	0.000275254957326	0.000333563219392	0.000136791651314
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae	4305372	0.00059712448155	0.00381741522721	0.00585140206899	0.000429850591336
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,simulans	912997	0.00218548699646	0.0209882237846	0.0139680008556	0.00376085402035
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	185420	0.00272764178942	0.00480050012378	0.0053553240267	0.0026335195895
Bacteria,Firmicutes,Clostridia,Clostridiales	173876	0.00830260671148	0.0234320933693	0.0235598216621	0.0108010506949
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae	2654263	6.8610974379e-05	0.00098954313341	0.000445021154903	0.000100174501299
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	176104	9.99341342201e-05	0.000266497872911	0.000282484007592	0.00012505933888
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4447176	0.000152683190828	0.000254306314263	0.00140852484869	4.45787654438e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae	187517	3.89581065745e-05	0.000143178449839	0.000191511500744	3.96158633631e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	185203	0.000734480476329	0.00143605587289	0.00162691797866	0.00082798354109
Bacteria,Firmicutes,Clostridia,Clostridiales	180352	7.33396832826e-05	0.000179134215753	0.000188976191065	7.82185900099e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	177230	0.000130787103787	0.000173217450864	0.000407327957894	7.25785879932e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum	328472	0.000154477629545	0.000788440869998	0.00152986457036	0.000128771483129
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	177941	8.22814699055e-05	0.000322790500054	0.000293120200319	0.000102413651703
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium	1000986	0.000301873913834	0.00277348003846	0.00270215337246	0.000391960886948
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	174924	0.000177542376808	0.000347931222761	0.000513778179492	0.000141645735058
Bacteria,Firmicutes,Clostridia,Clostridiales	522433	0.000254829301756	0.00228141159701	0.00234546054706	0.000426274576453
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	300491	6.77701925919e-05	0.000406190913013	0.000358807265117	7.34641409593e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	4427459	0.000594643220989	0.00167152754223	0.00306608956531	0.000425816021426
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	198636	0.00362535943402	0.00418120991731	0.0126460016815	0.00251806348208
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri	293843	4.6956310719e-05	0.000346545780644	0.000390570395456	4.31245026713e-05
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,zeae	4480189	0.000243457684854	0.0097715678539	0.00378471538495	0.000827531204552
Bacteria,Firmicutes,Clostridia,Clostridiales	4296763	0.000144042502389	0.00358185764981	0.00158387676406	0.000311320660686
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	188348	0.000464483078711	0.000718009151426	0.00277620940799	0.000176279247492
Bacteria,Firmicutes,Clostridia,Clostridiales	4402903	0.00148161764056	0.00753050569289	0.00612900701502	0.00136488001065
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	579541	1.7676790981e-05	0.000153879851682	0.00015320773256	3.23571736447e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	352014	0.000106559391103	0.000325284076032	0.000875406539017	5.75875428255e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella	4474255	0.00366618891857	0.0105665548533	0.0106053518366	0.00283570734234
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	186136	0.000280708612159	0.001013169383	0.00183811398032	0.000169244877263
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	289927	0.000126479095043	0.000478272733814	0.000629822197315	0.000122869022425
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4415390	0.000238927433375	0.000861474001538	0.00233964664961	7.661758315e-05
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	182157	0.00059478895842	0.000940258823787	0.00160864210427	0.000606573000688
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	1107945	0.000324282199095	0.000732463660616	0.000896927337726	0.000228376317806
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4412546	0.00177738676055	0.00422362230328	0.00401968786272	0.00165927222344
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4412540	0.00497116452529	0.0174799380285	0.0239475979656	0.00586677233957
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,formigenes	7366	0.000161282281089	0.000473231263091	0.00047601974184	0.000175135190748
Bacteria,Firmicutes,Clostridia,Clostridiales	4458227	0.000736541051906	0.0028350457126	0.0199033872822	0.000286723754243
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	195619	7.3994887299e-05	0.000148038161857	0.00017527768971	6.59949279117e-05
Bacteria,Tenericutes,Mollicutes,RF39	4308127	0.000150740400183	0.00306550856304	0.00256425925504	0.000404544074146
Bacteria,Firmicutes,Clostridia,Clostridiales	186851	5.39870202518e-05	0.000192867141472	0.000228770085321	5.59857491098e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	183829	9.84582926129e-05	0.000732522976501	0.00073895474592	9.97174182617e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4396292	0.000171785731187	0.000418582295751	0.000364854033572	0.000232118076939
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	3465233	0.00921941997392	0.0147838861411	0.0248673474894	0.00587064711924
Bacteria,Firmicutes,Clostridia,Clostridiales	36892	0.000222966877097	0.000926717082097	0.00239782839506	0.000282353061289
Bacteria,Firmicutes,Clostridia,Clostridiales	157338	0.00165689492689	0.00839310850593	0.0091141305103	0.00172301283743
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	561607	0.000109945304431	0.000289692665513	0.00058838836782	6.57770644792e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax	230607	0.00219613383912	0.0520198514857	0.0265596230547	0.00633941755158
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4232045	0.00158727017384	0.00670791981434	0.00792143019374	0.00181606810357
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	288651	0.000635758192215	0.00231398929821	0.00313851804261	0.000582728275084
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	227697	8.53304050094e-05	0.000614234236183	0.00102530756176	0.000100861367319
Bacteria,Firmicutes,Clostridia,Clostridiales	186379	3.67061641508e-05	0.000177582152122	0.0001168353554	6.35137517814e-05
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus	4300206	0.000133161287236	0.00143217246189	0.00321645824905	0.000144537055145
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,faecis	510777	4.71285017285e-05	0.000113657671088	0.000132962802308	6.11953163902e-05
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Paraprevotella	366147	0.00115360819985	0.00148539952683	0.00669331695134	0.00034042945035
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	327218	0.000154064654555	0.000288189377535	0.000326779174892	0.000154572100646
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	730906	0.000988226443715	0.00257179575902	0.0053602332344	0.00118119284951
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	4437917	0.000457581827214	0.000600697029836	0.00208666469241	0.000183922608302
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	760967	0.000362657202567	0.002581966085	0.00677283742758	0.000343870203844
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum	3275744	0.000952225289813	0.00167612251713	0.0127934902487	0.000246028947791
Bacteria,Cyanobacteria,Chloroplast,Streptophyta	4422313	0.000114134099094	0.00341172290223	0.00138411905024	0.000372782331413
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4451152	0.000289307929997	0.00196406106962	0.00175405250919	0.000389803961127
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae	107044	0.000203884020498	0.00231659860908	0.00106767249307	0.000273909203257
Bacteria,Firmicutes,Clostridia,Clostridiales	188574	0.00152254795996	0.00327691660134	0.00244223146923	0.00192032524995
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Acidaminococcus	2829179	0.000537789189392	0.00136295853544	0.00458532967247	0.000181720365429
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4465072	0.00342738091487	0.0107090553375	0.011074687359	0.00464858530987
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	3409358	0.00527214129861	0.0144558827846	0.0161829046464	0.00530986225417
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	175560	0.000104442615221	0.000239555025871	0.00116210565135	6.42221264192e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	4405146	0.00113010381573	0.00189740724417	0.00873392048437	0.000420172196514
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	4459196	0.000794939415872	0.00274000438817	0.0025900033743	0.00092568544094
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	359314	0.000126847767913	0.000230776013777	0.00022106861214	0.000152974577874
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	181862	0.000418936039647	0.00130038282572	0.00166316007338	0.00039996514056
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae	187324	8.51822589612e-05	0.000116820396543	0.000173101346266	7.95342258051e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53	3805518	0.000427747292081	0.00180808640845	0.0024122982216	0.000472910610193
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,clausii	4415616	0.000623719285751	0.0021509289889	0.0111237655402	0.000237833721216
Bacteria,Firmicutes,Clostridia,Clostridiales	4466220	1.25054194165e-05	0.000127842638836	8.68877181286e-05	2.09440175189e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	191755	0.00353320280323	0.00291861037727	0.0113133888221	0.00220999450524
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	332241	8.71451711083e-05	0.000743795353782	0.000586783149277	0.000144583401744
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	2951214	0.00580057246406	0.00998012491651	0.0169256461379	0.00534278673657
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	198449	0.00349294905182	0.00300457624734	0.00919210353882	0.00311708148826
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,marcescens	1517154	0.000446936623244	0.000566937547868	0.00122707542313	0.000294359549819
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae	157424	0.000381449220059	0.0035608865947	0.00237838267169	0.000307011197701
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	336559	0.000117985317148	0.000314048234576	0.000848835335766	5.35782306335e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	358654	0.000648510857996	0.0009397133752	0.00127464196952	0.00063687532923
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia	4414044	5.11680876778e-05	0.000136390701106	0.000135924211638	7.21904140164e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	195950	0.000173898553105	0.000796347259249	0.000673472636492	0.000153776661088
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	4387453	0.000345335786319	0.000914607147845	0.00119851856875	0.000254733008438
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae	148354	0.000365051353013	0.00184496401872	0.0014739449588	0.000417427025793
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	187178	0.000792300402391	0.00446185631574	0.00398639653561	0.000557436718786
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4459708	0.000244773155259	0.000416909982538	0.00130793559659	0.000121780469076
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Paraprevotella	181432	0.00157615020162	0.00587796610741	0.00844456147241	0.00126172823311
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	3424188	0.00305082164057	0.00410402145472	0.0131888795432	0.00212779938827
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	180421	0.000429585665528	0.00135601105282	0.0013752694889	0.000363544253555
Bacteria,Firmicutes,Clostridia,Clostridiales	197698	0.000163193255568	0.000821596178523	0.000557373889439	0.000244453967921
Bacteria,Firmicutes,Clostridia,Clostridiales	300102	0.00074097730346	0.00428894734856	0.019948811416	0.000806024307638
