Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__	359314	0.000126847767913	0.000252915235785	0.00022106861214	0.000189985061098
k__Bacteria,p__Verrucomicrobia,c__Pedosphaerae,o__Pedosphaerales,f__Ellin515,g__,s__	84779	1.57781665518e-08	0.0	8.02673032335e-07	0.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__	197367	0.110470858751	0.0883560669801	0.111336135018	0.107251779968
k__Bacteria,p__Acidobacteria,c__Chloracidobacteria,o__RB41,f__Ellin6075,g__,s__	4189999	8.00154204649e-05	0.000168048185716	0.000148970494824	0.000109694654281
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__	199716	7.82670257858e-05	0.000107010745552	0.000123271504246	8.91823065638e-05
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__	188735	8.71094161517e-05	0.000146455651966	0.000148628900142	0.000108532849692
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__	197832	7.53687006689e-09	5.13706300948e-06	3.83418588658e-07	6.63191982805e-07
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__	205904	0.00048273174481	0.000512688934587	0.000540400284477	0.000527208731666
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__	581129	0.0	5.06392807989e-06	0.0	6.53750303994e-07
k__Bacteria,p__Acidobacteria,c__Chloracidobacteria,o__RB41,f__,g__,s__	4412168	0.000487937341532	0.000579558537761	0.000584332946158	0.000556937111746
k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__	197490	2.56263028335e-05	0.000101056406577	7.3356549482e-05	4.8058949866e-05
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__	312140	0.000381920576042	0.000430784896755	0.000464061414863	0.000423955468843
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__	834280	1.61266551371e-08	4.32444695993e-06	8.20401479335e-07	5.58283701912e-07
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__,g__,s__	4396292	0.000171785731187	0.000567463898137	0.000364854033572	0.000372369090927
k__Bacteria,p__Acidobacteria,c__Chloracidobacteria,o__RB41,f__Ellin6075,g__,s__	523768	1.76535705773e-05	5.67873763381e-05	9.24774112656e-05	3.19846290622e-05
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__subflava	176690	0.000283192748523	0.000551541009679	0.000633778260029	0.000443583538381
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	338926	0.0	5.30710329466e-06	0.0	6.85144089228e-07
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__,s__	198449	0.00349294905182	0.0023858958688	0.00919210353882	0.00281945931302
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	514028	0.0	5.76278922312e-06	0.0	7.43972889628e-07
k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Coprobacillus,s__	173876	0.00830260671148	0.0278036089695	0.0235598216621	0.0175607405262
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__CandidatusPortiera,s__	312586	6.02866610973e-05	0.000245964989252	0.000147648532413	0.000135487124364
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__	188574	0.00152254795996	0.0038743848517	0.00244223146923	0.0029122784697
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	530866	0.0	4.87702348701e-06	0.0	6.29621024809e-07
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__	194258	0.0188678914057	0.0274598063357	0.0341181365464	0.0229550450203
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Mogibacteriaceae,g__,s__	815828	1.3226953129e-09	4.4718643658e-06	6.72886709731e-08	5.77315207175e-07
k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__FAC88,f__,g__,s__	188454	0.000113712901155	0.000179493714047	0.00171391292202	0.000103228596377
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__,g__,s__	302422	4.5031205242e-08	0.0	1.32343173937e-06	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	188329	4.17514360844e-05	0.000108827698773	9.88537055333e-05	6.18069612056e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__	179358	0.000792513515859	0.00100834877891	0.00793569562686	0.00082940108913
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	193797	0.00010754738322	0.0003629634549	0.00256909637738	0.000169929968622
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	526963	2.22922007414e-08	0.0	8.61461269282e-07	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Peptococcus,s__	168071	0.000121409568711	0.000467405410123	0.000276005048366	0.000272629067133
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__,s__	305275	1.19615312503e-08	4.71950719287e-06	4.4385954196e-07	6.09285758677e-07
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	520413	3.11609871279e-05	8.48455128079e-05	7.48365828187e-05	4.76087087033e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	2066505	3.88292712723e-08	4.08884146482e-06	1.17497449666e-06	5.27867163284e-07
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__,s__	173863	0.000751273994114	0.000866670143437	0.000953010975327	0.000807342401016
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__	567960	1.09911079958e-08	5.30710329466e-06	5.59143925547e-07	6.85144089228e-07
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__	179663	7.28747178512e-05	0.000164350045658	0.000181011171064	9.28347632782e-05
