Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales	176062	0.000477952337288	0.00194079152623	0.00143735473906	0.000531231458415
Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae	967433	0.0	7.22479861922e-06	0.0	9.32717491065e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	183576	5.48466612484e-06	3.49778484915e-05	3.16954863643e-05	1.42062828853e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	193171	1.895052091e-08	0.0	9.64058278459e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	356644	4.10886000978e-08	0.0	1.21359706748e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	305997	4.8540105294e-07	6.27138781763e-06	6.46445161899e-06	8.09632685843e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4450198	1.83251591656e-05	4.37882233665e-05	4.89980791225e-05	1.71711203258e-05
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	802787	1.63998606143e-08	0.0	8.3430009475e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	531722	1.76571207857e-08	0.0	8.98259923728e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	272149	1.8943822159e-07	1.134013579e-05	4.23262115966e-06	1.46400523528e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	195496	7.48322392727e-08	5.46798693241e-06	2.60734654674e-06	7.0591407755e-07
Bacteria,Proteobacteria,Betaproteobacteria,Gallionellales,Gallionellaceae,Gallionella	141108	1.769027742e-08	0.0	8.99946680936e-07	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae	821579	2.23046438291e-08	0.0	1.13469052559e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	300870	3.00697799804e-06	7.45004015817e-05	2.88261346488e-05	1.40158493354e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	350891	7.37750963973e-09	0.0	3.75311542958e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella	4324196	8.18304944252e-07	1.03906636309e-05	9.73759314861e-06	2.31926572336e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Chromatiaceae,Rheinheimera	982266	4.85468454339e-08	0.0	1.42432184231e-06	0.0
Bacteria,Cyanobacteria,4C0d-2	827771	3.25950847462e-07	2.5366172699e-05	6.08144948086e-06	3.27475881401e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	186876	1.10028482572e-06	3.51602091577e-05	1.2557987774e-05	7.41714239009e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	4356307	1.06272975912e-05	2.0053991578e-05	5.57926661624e-05	8.8256785948e-06
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales	146122	1.19845330972e-08	0.0	6.09681834111e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	4101782	4.20527033613e-08	0.0	1.51269247494e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	4372581	0.000142479458873	4.47011353474e-05	0.00654973478992	1.72336948059e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	181990	3.68080714099e-08	0.0	1.10359084469e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	324286	2.83362875394e-06	3.88152617351e-05	1.9483756259e-05	8.62122448369e-06
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae	4323379	2.4214289055e-08	0.0	9.11101821515e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	290211	1.63125904717e-08	0.0	8.29860454074e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	574290	1.08118911666e-07	7.4137704654e-06	2.28833207324e-06	9.57113651503e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	356309	1.89310158892e-08	0.0	9.63066011447e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	179663	7.28747178512e-05	0.000164350045658	0.000181011171064	9.28347632782e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	179662	7.69373219243e-07	1.28669488191e-05	1.1377886603e-05	2.27363792113e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	179664	3.53908413803e-06	2.58704697473e-05	1.96977456864e-05	7.86870516726e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	319262	1.53606563986e-06	1.30048418233e-05	1.26945940223e-05	3.85757613032e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	1009427	7.94016892154e-09	0.0	4.03935365023e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	350447	6.30396656862e-08	4.4718643658e-06	1.53507925275e-06	5.77315207175e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	290974	9.28818971966e-06	5.83556606494e-05	5.35974225316e-05	1.48079457859e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	538947	5.92228960651e-06	6.90525461944e-05	4.36467770323e-05	1.84590516403e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	264684	0.0	3.78004526334e-06	0.0	4.88001745094e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis	4374084	1.42939900859e-05	6.11489041423e-05	4.817161976e-05	1.58508987616e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	265886	1.54904675388e-06	1.37465119093e-05	1.29757385422e-05	3.47584916533e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4407336	2.10148176175e-08	0.0	7.59470124131e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	258522	0.0	5.4764764968e-06	0.0	7.07010075601e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	1646171	1.45326780491e-08	2.44048009939e-06	7.39312056271e-07	3.15064626056e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	187929	7.82177569947e-05	0.000139249727098	0.000199307266825	9.29169660262e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides	1000876	0.0	4.3112331273e-06	0.0	5.56577803455e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio	787509	2.7439639858e-08	8.60785388635e-06	1.39592004297e-06	1.11126915828e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	333949	0.000132411792159	0.000265382590683	0.000417412631612	0.000102917272839
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	239358	1.0420874677e-05	4.83367612961e-05	3.53220368182e-05	1.93117406741e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium	4339309	1.73058612477e-08	0.0	8.80390511741e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	293975	4.57847577375e-06	3.36330475222e-05	2.92468111373e-05	1.01345094889e-05
