Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__	197367	0.0340090163172	0.0329904984938	0.0388954198149	0.0348910484041
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	180606	0.0113657419248	0.0122933232237	0.00813229318117	0.00955099143648
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Pontibacter,s__	1733364	0.0198584518049	0.0148849341567	0.0156530586954	0.0104620373966
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__,s__	352347	0.0132771281041	0.012776574526	0.00993148470385	0.0108899409273
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__,g__,s__	340761	0.0113812437851	0.0108273466809	0.00659078930626	0.0088171941487
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__	194258	0.00877808263403	0.0114838477131	0.00641740624013	0.00851420556544
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Paenisporosarcina,s__	4365130	0.00864897434686	0.0100211937082	0.00528448412581	0.00655293467098
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__,s__	180285	0.00737535427419	0.00903912417251	0.00467598078224	0.00546466420152
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__	4324964	0.00797180064974	0.00532127767545	0.00415205869179	0.00350386482254
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	4449054	0.0222088807555	0.0129204143888	0.00621710116889	0.0046044149527
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__	359493	0.00277340183051	0.00352809579228	0.00218522045603	0.00255800800283
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,g__,s__	4453609	0.00601593244433	0.00515733527589	0.00453840828765	0.00368546891624
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__	195674	0.00216334885391	0.00313818276397	0.00165377821466	0.00217483874715
k__Bacteria,p__Bacteroidetes,c__Rhodothermi,o__Rhodothermales,f__Balneolaceae,g__,s__	193477	0.00469034460145	0.0037732276424	0.00243023898913	0.00231455195542
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__,s__	2951214	0.00362111897046	0.00337464403769	0.00205079942458	0.00190551203147
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,g__Cellulomonas,s__	196982	0.002384279902	0.00282073477937	0.00163148317357	0.00199401972769
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__,s__	198449	0.00110999527826	0.00116564527149	0.00127315669482	0.0012122210003
k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Akkermansia,s__muciniphila	194415	0.00205015447385	0.00192098517643	0.00128257133498	0.00139866056758
k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Isosphaeraceae,g__,s__	847228	0.00572501688809	0.0056850779416	0.00369483703629	0.00313802772891
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__,s__	185420	0.00228036154549	0.00175827025086	0.00139553658155	0.00115679593545
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Sutterella,s__	191718	0.00259811615453	0.00356480452164	0.0014958824828	0.00210312333035
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	189924	0.0049446353467	0.00239104792587	0.00225551621366	0.00158629854209
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Sporomusa,s__	194112	0.00191851276323	0.0015604563318	0.00134122546575	0.00113702733498
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	174998	0.00196108708128	0.00272163863803	0.00111212313822	0.00146252492811
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Hymenobacter,s__	191755	0.00186219743195	0.00225930725371	0.00108595904921	0.00148908761419
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	178478	0.00747493287214	0.00604812345383	0.00353782152339	0.00231389078212
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__,g__,s__	3138798	0.00303263395654	0.00302097351211	0.00182777660196	0.00149549437469
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__	187816	0.00341897674931	0.00324290312933	0.00165834281912	0.00201117775515
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__	316496	0.0011873753707	0.00272961131883	0.000704276356384	0.00133272181443
k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,g__,s__	194353	0.00145237303558	0.00172081871436	0.000833797324085	0.000951060458044
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Vagococcus,s__	4477861	0.00793796619602	0.00697578837791	0.0033252608817	0.00303486028203
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	3424188	0.002647866427	0.0030469284176	0.00135378695999	0.00140675158559
k__Bacteria,p__Verrucomicrobia,c__Pedosphaerae,o__Pedosphaerales,f__Ellin517,g__,s__	293508	0.00128467731502	0.00270950989566	0.00102793290767	0.00120055478324
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Facklamia,s__	180509	0.00335013352238	0.00548871451947	0.00145680213165	0.00212732434749
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__durum	4322986	0.0116203354874	0.0123152676874	0.00400184362139	0.00501768028734
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__,s__	198636	0.0013243095147	0.00181531752707	0.000867545477362	0.00104788209994
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__	4474255	0.00310436567613	0.00252758388027	0.00150760100955	0.00123910437522
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__,s__	4412546	0.00144852994858	0.00297244523568	0.000860790385588	0.00120207489693
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__	4465072	0.00387282947577	0.0035863716755	0.00152585181436	0.00163052499556
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__211ds20,g__,s__	4347159	0.00501946394072	0.0128557011401	0.00163791045436	0.00261024680718
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	4127460	0.00388994210164	0.00244510474844	0.00154392123382	0.00082756468437
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__	188574	0.000948708006497	0.000829336025563	0.000615559201491	0.000693419444472
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__caeni	176306	0.000727224202251	0.000869072151227	0.000531302337217	0.000717318362362
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Ruminococcus,s__gnavus	4433823	0.0136283754168	0.0168581763153	0.00377461516119	0.0033990777774
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__	292399	0.00263166621281	0.00358740024074	0.0011907164397	0.00154208507449
k__Bacteria,p__Bacteroidetes,c__Saprospirae,o__Saprospirales,f__Chitinophagaceae,g__,s__	3465233	0.00603297569372	0.00788864323153	0.0026012067175	0.0043020110372
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	48084	0.00349763171484	0.00391192125533	0.00123624293142	0.00165199076395
k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__	3931537	0.0011812333417	0.00156675375323	0.000778938732799	0.000825624957877
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__	3409358	0.00677762412767	0.00561130010261	0.00253691109456	0.00184516923442
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__copri	3244671	0.00477332011748	0.00232068794642	0.00112377673679	0.00072894239556
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__	4426051	0.000739390580633	0.00100637862022	0.000479247926223	0.000669083461448
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Ruminococcus,s__gnavus	359872	0.000948227516188	0.000912599362409	0.000530499997186	0.000504342921114
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Streptomycetaceae,g__Kitasatospora,s__	179637	0.0016237192182	0.00125940366733	0.000693930622256	0.000700213724232
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cardiobacteriales,f__Cardiobacteriaceae,g__Cardiobacterium,s__	4412540	0.00584668692803	0.00387521827608	0.00203033058747	0.0016779870797
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__	4372973	0.00182286473916	0.0020758617274	0.000727686300893	0.000863123578639
k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Parapedobacter,s__	4306262	0.0176300770611	0.0125376649078	0.00559157741501	0.00365131342135
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__	4437362	0.00263821128222	0.00280980161749	0.000932570404807	0.000804019791766
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__	4468466	0.00172004966938	0.00175335913635	0.000892215872277	0.000725212897912
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	1944498	0.000576623014797	0.000506800793889	0.000567120876071	0.000412828662168
