Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	362389	9.56615016789e-05	0.000132862790638	4.39663559936e-05	5.90078223024e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	264996	2.28910283881e-06	0.0	2.10713191035e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,guillouiae	938794	2.46284083756e-06	0.0	1.59978703635e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	175087	1.91384258707e-06	0.0	1.24317435122e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	179853	3.45888826108e-06	0.0	4.43857283261e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	193171	1.32963434792e-06	3.22110692018e-06	8.63690320726e-08	2.12393500589e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales	151384	0.0	3.63600111291e-06	0.0	3.35274070013e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	305997	3.35647761558e-06	1.7492433456e-06	2.75286500503e-07	1.15341690531e-07
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,KD1-23	566480	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	4442387	4.56851849195e-05	4.0612174429e-05	1.8807202869e-05	1.78297609981e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	4455677	0.0	2.76315661815e-06	0.0	1.82197151894e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	332411	2.50193377156e-06	3.17406441572e-06	2.13673649676e-07	4.03233095008e-07
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus	1765402	3.17105193041e-06	0.0	2.91139428758e-07	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	1625696	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	703731	2.95527006652e-06	2.38849642548e-06	2.72020732664e-07	1.57492790374e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	322580	4.70430743278e-05	7.4922798616e-05	1.31808603586e-05	1.52178773638e-05
Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,Gemella	2973395	2.27488400358e-06	2.47297729574e-06	1.47769595283e-07	1.63063293996e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter	4422794	0.0	3.9726855408e-06	0.0	2.61951127254e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	178478	0.0314631151405	0.0168459381034	0.0112707882153	0.00618397171467
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	300594	2.6872191333e-06	0.0	1.74553640159e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella	4324196	1.68547567634e-05	8.25911200299e-06	3.30530108333e-06	1.32396355801e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	168541	3.17374665905e-06	0.0	2.78616688564e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	338069	0.0	2.56505572366e-06	0.0	1.69134765736e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium	4353658	0.0	2.42627596168e-06	0.0	1.5998389922e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales	146120	0.0	3.07419934666e-06	0.0	2.02706702051e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas	606755	2.23438141096e-05	2.03262435469e-05	6.71554466281e-06	5.82473246424e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	181990	3.0196952582e-06	0.0	2.75603027095e-07	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae	4323379	2.65065982698e-06	0.0	1.7217885802e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	184903	1.85017739074e-06	0.0	1.20181936222e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	179663	0.000116071224505	0.000159046571828	6.87883353777e-05	8.78790188201e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,formicigenerans	179665	0.0	3.62312436753e-06	0.0	3.38545711128e-07
