Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidesfragilis	2000	0.00182259809345	0.00130383815175	0.00144877962376	0.000491370202965
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio	51535	0.00252068553012	0.00118222978495	0.00426675555781	0.00220743790546
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae	107252	5.24403136368e-07	0.000478135195886	2.22916117277e-05	0.000797582328984
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidesfragilis	130663	0.0156630485743	0.0113210604475	0.0156376334365	0.00371563995037
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	158660	0.0358183546073	0.022856314601	0.0763888248825	0.0424082513607
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	162651	0.00106714404631	0.000600907523346	0.00146772998664	0.000514223845464
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	166689	0.000253851599691	9.66427362633e-07	0.000160499421318	2.17845071575e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium	166869	0.000112780623647	2.84820534483e-05	0.000215875280392	4.6721461123e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium	167365	1.00639435766e-05	0.00013835680658	2.53553358489e-05	0.00020908809514
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium	179460	0.0013785943601	0.000386673379875	0.00169418720952	0.000697852821388
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	181961	4.59686411179e-06	0.0027223756352	2.32473320633e-05	0.00263884241193
Bacteria,Firmicutes,Clostridia,Clostridiales	184983	0.00254181491286	0.00242989780688	0.00358990679105	0.00213363319393
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium	187360	0.00120519426602	1.87339445067e-06	0.00164059635247	2.19477901895e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium	188236	0.00886208496687	0.01442896392	0.0120780900059	0.0218594441887
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	189047	3.10018962741e-06	0.000537039350431	2.28031066483e-05	0.000557026878952
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	190464	0.0018830684458	0.00136298063143	0.00254679420179	0.00100466681692
